source,target
10088079,7138040
2070020,7138040
2070020,7067111
4760097,4425796
4760097,8911624
4760097,301089
4760097,301154
4760097,8619079
4287179,9779256
4287179,7644889
7451157,10595753
7451157,5637065
7451157,9076443
7451157,9914357
7451157,7325050
7451157,8851766
7451157,10494385
7451146,5954624
7451146,8858611
7451146,8111336
7451146,7832112
7451146,10423380
433179,8802647
433179,897316
433179,10453408
433179,9957733
433179,8911624
8026592,8911624
8026592,8134390
8026592,9779083
8026592,7339114
8026592,8911267
8026592,7067294
5092717,6602226
5092717,7308348
5092717,3255212
5092717,6716136
5092717,7308326
5092717,4682782
5092717,7308517
5092717,7308611
5092717,7308662
5092717,10044121
5092717,3766505
5092717,6748230
5092717,4502853
7590006,3202848
7590006,6602226
7590006,6679903
7590006,5476543
7590006,4835254
7590006,1280758
7590006,8075649
7590006,2009070
7590006,1592382
7590006,678441
7590006,7308761
7590006,8411827
7590006,3202613
7590006,3182229
1755241,6602226
1755241,8772591
1755241,10406095
1755241,4047285
1755241,481042
1755241,6559948
1755241,3255212
2025745,8911624
2025745,9779083
2025745,8911267
2025745,3272008
2025745,2815283
2025745,8677860
6316590,10494662
6316590,6602226
6316590,10406095
6316590,7644889
6316590,7187144
6316590,1763909
6316590,10494508
6316590,5027976
6316590,2459162
6316590,10768666
6316590,10666338
6316590,10426322
6316590,10818099
6316590,4444528
6316590,7617527
6316590,10455849
6316590,10494385
6316590,7308637
6316590,9001257
6316590,9948074
6316590,7909405
6316590,3766505
6316590,10426333
6316590,822350
7590489,8980264
7590489,7187150
7590489,6602226
7590489,4835254
7590489,5028103
7590489,10455996
7590489,6513355
7590489,301177
7590489,4670820
7590489,6716136
7590489,7308179
7590489,1763728
7590489,7308517
7590489,4631929
7590489,1826774
7590489,4906426
7590489,9860383
7590489,10100913
7590489,9983867
7590489,1457284
7590489,10494385
7590489,7308637
7590489,8411909
7590489,7285113
7590489,8411827
7590489,7909019
7590489,6758322
7590489,822350
7590489,2352853
7590489,351638
7590489,1207239
7590489,10100777
7590489,1041163
7590489,2949723
7590489,6715943
7590489,7748484
7590489,6513550
7590489,10494677
7590489,7591029
7590489,4670900
7590489,5004534
7590489,5117181
7590489,3493812
7590266,9860141
7590266,11140831
7590266,10817868
7590266,9860383
7590266,7308290
7590266,118410
7590266,3121523
7590266,5249372
7590266,5027596
7590266,10494342
7590266,9860428
7590266,7896531
7590266,1483433
7590266,5028086
7590266,7198576
7590266,4835254
7590266,5027683
7590266,7591126
7590266,7241365
7590266,5777004
7590266,284778
7590266,10717047
7590266,4064088
7590266,7591009
7590266,7187144
7590334,6601628
7590334,6602226
7590334,7676480
7590334,7308590
7590334,5476551
7590334,2316993
7590334,4294634
7590334,7308637
7590334,1763728
7590334,7308179
7590334,7308611
7590334,7187144
7590334,10100777
2289899,2341392
2289899,5800732
2289899,5476543
2289899,5800930
2289899,10406299
2289899,7308637
2289899,301012
2289899,7187150
5443837,8911624
5443837,3272008
5110122,10934317
5110122,7676710
5110122,10349086
5110122,11240548
5110122,4857154
5110122,4565371
5110122,9256522
1585501,7067231
1585501,8134390
1585501,8911624
1585501,9779083
1585501,8911267
1585501,1921513
1585501,8553340
1585501,9499592
1585501,3334288
1585501,4345907
1585501,10440100
1585501,8134318
1585501,8943129
1585501,7067294
1585501,9038085
1585501,9957733
1585020,6602226
1585020,5476574
1585020,8911293
1585020,1457043
1585020,4835570
1585020,4835491
1585020,1457315
1585020,6679300
1585020,4835799
1585020,7308450
1585020,4835791
